operator_name,total_versions,latest_version,openshift_versions,last_update,has_ci_yaml,has_makefile,error
cortex-certifai-operator,0,,,2021-09-28T16:10:20,True,False,
cortex-certifai-operator-hub,0,,,2021-09-28T16:10:20,True,False,
cortex-fabric-operator,0,,,2021-09-28T16:10:20,True,False,
cortex-healthcare-hub-operator,0,,,2021-09-28T16:10:20,True,False,
cortex-hub-operator,0,,,2021-09-28T16:10:20,True,False,
couchbase-enterprise-certified,43,2.8.1-2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.8,v4.9",2025-07-15T21:18:11,True,True,
crunchy-postgres-operator,27,5.8.2,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-05-22T23:22:01,True,True,
csw-operator,2,1.3.0,"v4.16,v4.17,v4.18,v4.19,v4.20",2024-11-29T12:01:59,True,False,
cte-k8s-operator,8,v1.6.5,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-06-06T17:11:16,True,False,
cyberarmor-operator-certified,0,,,2021-09-28T16:10:20,True,False,
data-explorer-operator-certified,0,,,2021-09-28T16:10:20,True,False,
datadog-operator-certified,25,1.16.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.5,v4.6,v4.7,v4.8,v4.9",2025-07-01T23:19:46,True,False,
datasance-pot-operator,2,3.4.9,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17",2024-11-13T20:53:06,True,False,
dataset-operator,0,,,2021-09-28T16:10:20,True,False,
db2-zos-db-operator,0,,,2021-09-28T16:10:20,True,False,
db2u-operator,0,,,2021-09-28T16:10:20,True,False,
dell-csm-operator-certified,16,1.9.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-06-26T12:53:54,True,True,
demo-rose-memcached-operator,0,,,2021-09-28T16:10:20,True,False,
densify-operator,0,,,2021-09-28T16:10:20,True,False,
digitalai-deploy-operator,24,,,2025-07-08T21:44:19,True,False,'<' not supported between instances of 'str' and 'int'
digitalai-release-operator,24,,,2025-07-08T22:11:07,True,False,'<' not supported between instances of 'str' and 'int'
dotscience-operator,0,,,2021-09-28T16:10:20,True,False,
driverlessai-deployment-operator-certified,0,,,2021-09-28T16:10:20,True,False,
dynatrace-operator,43,1.6.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.7,v4.8,v4.9",2025-07-08T08:55:24,True,False,
edb-hcp-operator,3,1.2.1,"v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20",2025-07-07T15:49:51,True,True,
edb-operator-bundle,0,,,2021-09-28T16:10:20,True,False,
eddi-operator-certified,0,,,2021-09-28T16:10:20,True,False,
edgelabs-ai-sensor-operator,1,1.0.0,"v4.10,v4.11,v4.12,v4.9",2023-06-19T14:31:48,True,False,
eginnovations-operator,9,0.0.10,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.8,v4.9",2025-02-04T14:27:05,True,False,
elasticsearch-eck-operator-certified,24,3.0.0,"v4.10,v4.11,v4.12,v4.13,v4.14,v4.15,v4.16,v4.17,v4.18,v4.19,v4.20,v4.6,v4.7,v4.8,v4.9",2025-04-15T16:53:09,True,False,
entando-k8s-operator,0,,,2021-09-28T16:10:20,True,False,
entando-operator,0,,,2021-09-28T16:10:20,True,False,
enterprise-kyverno,2,0.0.2,"v4.10,v4.11,v4.8,v4.9",2023-01-19T06:45:48,True,False,
enterprise-operator,0,,,2021-09-28T16:10:20,True,False,
epsagon-operator-certified,0,,,2021-09-28T16:10:20,True,False,
erynis-operator,0,,,2021-09-28T16:10:20,True,False,
exascaler-csi-driver-operator,3,2.2.6,"v4.13,v4.14,v4.15",2024-08-27T02:29:45,True,False,
